2026-03-22 00:16:14 | INFO     | database             | Iniciando DatabaseManager...
2026-03-22 00:16:14 | INFO     | database             | Verificando se o banco 'trading_db' existe...
2026-03-22 00:16:14 | INFO     | database             | [OK] Banco de dados 'trading_db' já existe
2026-03-22 00:16:14 | INFO     | database             | Criando tabelas no banco de dados...
2026-03-22 00:16:14 | INFO     | database             | [OK] Tabelas garantidas: ['users', 'autotrade_config', 'accounts_monitoring', 'user_strategies']
2026-03-22 00:16:14 | INFO     | database             | [OK] Tabela autotrade_session_state nao existe -- migracao nao necessaria
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:14 | INFO     | database             | [OK] accounts_monitoring já possui dados
2026-03-22 00:16:14 | INFO     | database             | [OK] Usuário admin já existe com autotrade 'Scalping5s' — sem alterações
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:14 | INFO     | database             | [OK] DatabaseManager conectado | Pool: 20/10
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:14 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:15 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:15 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:15 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:16 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:16 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:16 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:22 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:22 | DEBUG    | database             | [DB] Sessão commitada
